Iter,MSGD-Cov,MSGD-Fisher,MSGD-[Cov-10],MSGD-[Fisher-10],MSGD-[Cov-50],MSGD-[Fisher-50],MSGD-[Cov-100],MSGD-[Fisher-100]
0,8.61,7.73,8.61,7.73,8.61,7.73,8.61,7.73
1,9.6,8.59,9.6,8.59,9.6,8.59,9.6,8.59
2,10.04,9.83,10.04,9.83,10.04,9.83,10.04,9.83
3,10.58,9.93,10.58,9.93,10.58,9.93,10.58,9.93
4,13.48,9.7,13.48,9.7,13.48,9.7,13.48,9.7
5,16.39,11.62,16.39,11.62,16.39,11.62,16.39,11.62
6,18.24,15,18.24,15,18.23,15,18.24,15
7,19.53,20,19.54,20.01,19.53,20,19.53,20
8,19.56,20.75,19.55,20.74,19.56,20.74,19.56,20.75
9,19.69,26.29,19.69,26.27,19.7,26.28,19.69,26.29
10,20.04,25.31,20.11,25.47,20.08,25.46,20.04,25.31
11,22.07,34.06,22.07,34.02,22.08,34.04,22.07,34.06
12,22.76,34.8,22.74,34.92,22.77,34.89,22.76,34.8
13,24.96,45.19,24.95,45.15,24.97,45.15,24.96,45.19
14,29.02,46.97,28.96,46.98,28.92,46.99,29.02,46.97
15,38.28,46,37.89,45.93,37.73,45.95,38.28,45.99
16,38.06,49.25,38.72,49.24,38.88,49.25,38.06,49.26
17,40.6,35.34,42.77,35.38,43.37,35.13,40.6,35.46
18,20.23,28.32,21.16,28.33,21.88,28.03,20.23,28.41
19,20.3,20.16,20.23,20.17,20.41,20.18,20.3,20.16
20,15.96,21.33,16.24,21.31,17.42,21.24,15.96,21.33
21,26.36,21.39,17.32,21.29,17.82,21.05,26.36,21.46
22,36.38,29.12,22.69,29.66,20.67,29.61,36.38,29.39
23,41.44,42.76,27.77,42.75,26.1,42.57,41.44,43.02
24,43.1,43.2,29.59,43.19,29.12,43.11,43.1,43.23
25,44.57,43.36,36.08,43.34,34.77,43.21,44.57,43.37
26,49.15,50.02,41.46,49.86,42.28,52.58,49.15,49.8
27,48.92,51.53,43.94,51.34,43.39,52.69,48.92,51.11
28,43.43,37.12,47.4,37.57,45.98,53.45,43.43,36.12
29,17.65,22.07,49.9,19.95,45.35,35.43,17.65,20.81
30,14.2,33.45,50.01,25.97,43.93,20.15,14.2,28.06
31,27.77,38.95,31.7,35.65,27.8,33.56,27.77,36.05
32,31.93,42.38,37.09,36.33,37.14,34.36,31.93,43.13
33,38.16,43.15,40.33,50.54,39.23,46.28,38.16,54.4
34,40.54,49.18,39.75,55.28,43.72,53.27,40.54,54.13
