Iter,MSGD-Cov,MSGD-Fisher,MSGD-[Cov-100],MSGD-[Fisher-100],MSGD-[Cov-500],MSGD-[Fisher-500],MSGD-[Cov-1000],MSGD-[Fisher-1000]
0,14.02,8.24,12,9.72,6.2,7.54,6.24,7.18
100,14.02,8.24,12,18.6,6.2,18.6,18.56,18.6
200,14.02,18.6,12,18.6,6.72,18.6,18.6,18.6
300,14.02,18.6,12,18.6,17.78,18.6,18.6,18.6
400,14.02,18.6,18.6,18.6,18.6,18.6,18.6,18.6
500,14.02,18.6,18.6,18.6,18.6,18.6,18.6,18.6
600,14.02,18.6,18.6,18.6,18.6,18.6,18.6,18.6
700,14.12,18.6,18.6,18.6,18.6,18.6,18.6,18.6
800,17.96,18.6,18.6,18.6,18.6,18.6,18.6,18.6
900,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1000,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1100,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1200,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1300,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1400,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1500,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1600,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1700,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1800,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
1900,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2000,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2100,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2200,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2300,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2400,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2500,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2600,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2700,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2800,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
2900,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3000,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3100,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3200,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3300,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3400,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3500,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3600,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3700,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3800,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
3900,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4000,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4100,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4200,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4300,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4400,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4500,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4600,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4700,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4800,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
4900,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5000,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5100,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5200,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5300,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5400,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5500,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5600,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5700,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5800,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
5900,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
6000,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
6100,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
